date	close
30-Dec-11	415.00
29-Dec-11	410.12
28-Dec-11	412.64
27-Dec-11	406.53
23-Dec-11	403.43
22-Dec-11	398.55
21-Dec-11	396.44
20-Dec-11	395.95
19-Dec-11	382.21
16-Dec-11	381.02
15-Dec-11	378.94
14-Dec-11	380.19
13-Dec-11	388.81
12-Dec-11	391.84
9-Dec-11	393.62
8-Dec-11	390.66
7-Dec-11	389.09
6-Dec-11	390.95
5-Dec-11	393.01
2-Dec-11	389.70
1-Dec-11	387.93
30-Nov-11	382.20
29-Nov-11	373.20
28-Nov-11	376.12
25-Nov-11	363.57
23-Nov-11	366.99
22-Nov-11	376.51
21-Nov-11	369.01
18-Nov-11	374.94
17-Nov-11	377.41
16-Nov-11	384.77
15-Nov-11	388.83
14-Nov-11	379.26
11-Nov-11	384.62
10-Nov-11	385.22
9-Nov-11	395.28
8-Nov-11	406.23
7-Nov-11	399.73
4-Nov-11	400.24
3-Nov-11	403.07
2-Nov-11	397.41
1-Nov-11	396.51
31-Oct-11	404.78
28-Oct-11	404.95
27-Oct-11	404.69
26-Oct-11	400.60
25-Oct-11	397.77
24-Oct-11	405.77
21-Oct-11	392.87
20-Oct-11	395.31
19-Oct-11	398.62
18-Oct-11	422.24
17-Oct-11	419.99
14-Oct-11	422.00
13-Oct-11	408.43
12-Oct-11	402.19
11-Oct-11	400.29
10-Oct-11	388.81
7-Oct-11	369.80
6-Oct-11	377.37
5-Oct-11	378.25
4-Oct-11	372.50
3-Oct-11	374.60
30-Sep-11	381.32
29-Sep-11	390.57
28-Sep-11	397.01
27-Sep-11	399.26
26-Sep-11	403.17
23-Sep-11	404.30
22-Sep-11	401.82
21-Sep-11	412.14
20-Sep-11	413.45
19-Sep-11	411.63
16-Sep-11	400.50
15-Sep-11	392.96
14-Sep-11	389.30
13-Sep-11	384.62
12-Sep-11	379.94
9-Sep-11	377.48
8-Sep-11	384.14
7-Sep-11	383.93
6-Sep-11	379.74
2-Sep-11	374.05
1-Sep-11	381.03
31-Aug-11	384.83
30-Aug-11	389.99
29-Aug-11	389.97
26-Aug-11	383.58
25-Aug-11	373.72
24-Aug-11	376.18
23-Aug-11	373.60
22-Aug-11	356.44
19-Aug-11	356.03
18-Aug-11	366.05
17-Aug-11	380.44
16-Aug-11	380.48
15-Aug-11	383.41
12-Aug-11	376.99
11-Aug-11	373.70
10-Aug-11	363.69
9-Aug-11	374.01
8-Aug-11	353.21
5-Aug-11	373.62
4-Aug-11	377.37
3-Aug-11	392.57
2-Aug-11	388.91
1-Aug-11	396.75
29-Jul-11	390.48
28-Jul-11	391.82
27-Jul-11	392.59
26-Jul-11	403.41
25-Jul-11	398.50
22-Jul-11	393.30
21-Jul-11	387.29
20-Jul-11	386.90
19-Jul-11	376.85
18-Jul-11	373.80
15-Jul-11	364.92
14-Jul-11	357.77
13-Jul-11	358.02
12-Jul-11	353.75
11-Jul-11	354.00
8-Jul-11	359.71
7-Jul-11	357.20
6-Jul-11	351.76
5-Jul-11	349.43
1-Jul-11	343.26
30-Jun-11	335.67
29-Jun-11	334.04
28-Jun-11	335.26
27-Jun-11	332.04
24-Jun-11	326.35
23-Jun-11	331.23
22-Jun-11	322.61
21-Jun-11	325.30
20-Jun-11	315.32
17-Jun-11	320.26
16-Jun-11	325.16
15-Jun-11	326.75
14-Jun-11	332.44
13-Jun-11	326.60
10-Jun-11	325.90
9-Jun-11	331.49
8-Jun-11	332.24
7-Jun-11	332.04
6-Jun-11	338.04
3-Jun-11	343.44
2-Jun-11	346.10
1-Jun-11	345.51
31-May-11	347.83
27-May-11	337.41
26-May-11	335.00
25-May-11	336.78
24-May-11	332.19
23-May-11	334.40
20-May-11	335.22
19-May-11	340.53
18-May-11	339.87
17-May-11	336.14
16-May-11	333.30
13-May-11	340.50
12-May-11	346.57
11-May-11	347.23
10-May-11	349.45
9-May-11	347.60
6-May-11	346.66
5-May-11	346.75
4-May-11	349.57
3-May-11	348.20
2-May-11	346.28
29-Apr-11	350.13
28-Apr-11	346.75
27-Apr-11	350.15
26-Apr-11	350.42
25-Apr-11	353.01
21-Apr-11	350.70
20-Apr-11	342.41
19-Apr-11	337.86
18-Apr-11	331.85
15-Apr-11	327.46
14-Apr-11	332.42
13-Apr-11	336.13
12-Apr-11	332.40
11-Apr-11	330.80
8-Apr-11	335.06
7-Apr-11	338.08
6-Apr-11	338.04
5-Apr-11	338.89
4-Apr-11	341.19
1-Apr-11	344.56
31-Mar-11	348.51
30-Mar-11	348.63
29-Mar-11	350.96
28-Mar-11	350.44
25-Mar-11	351.54
24-Mar-11	344.97
23-Mar-11	339.19
22-Mar-11	341.20
21-Mar-11	339.30
18-Mar-11	330.67
17-Mar-11	334.64
16-Mar-11	330.01
15-Mar-11	345.43
14-Mar-11	353.56
11-Mar-11	351.99
10-Mar-11	346.67
9-Mar-11	352.47
8-Mar-11	355.76
7-Mar-11	355.36
4-Mar-11	360.00
3-Mar-11	359.56
2-Mar-11	352.12
1-Mar-11	349.31
28-Feb-11	353.21
25-Feb-11	348.16
24-Feb-11	342.88
23-Feb-11	342.62
22-Feb-11	338.61
18-Feb-11	350.56
17-Feb-11	358.30
16-Feb-11	363.13
15-Feb-11	359.90
14-Feb-11	359.18
11-Feb-11	356.85
10-Feb-11	354.54
9-Feb-11	358.16
8-Feb-11	355.20
7-Feb-11	351.88
4-Feb-11	346.50
3-Feb-11	343.44
2-Feb-11	344.32
1-Feb-11	345.03
31-Jan-11	339.32
28-Jan-11	336.10
27-Jan-11	343.21
26-Jan-11	343.85
25-Jan-11	341.40
24-Jan-11	337.45
21-Jan-11	326.72
20-Jan-11	332.68
19-Jan-11	338.84
18-Jan-11	340.65
14-Jan-11	348.48
13-Jan-11	345.68
12-Jan-11	344.42
11-Jan-11	341.64
10-Jan-11	342.46
7-Jan-11	336.12
6-Jan-11	333.73
5-Jan-11	334.00
4-Jan-11	331.29
3-Jan-11	329.57
